2020-11-25,0.9992,1.0,0.999,0.9999,185134357.11
2020-11-26,0.9999,1.0009,0.9993,0.9995,339288971.97
2020-11-27,0.9994,1.0004,0.9992,0.9996,168127536.26
2020-11-28,0.9995,0.9998,0.9988,0.9992,141371338.48
2020-11-29,0.9992,0.9997,0.999,0.9992,109032672.27
2020-11-30,0.9992,1.0002,0.9988,0.9997,191077062.45
2020-12-01,0.9996,1.0,0.999,0.9994,234611954.1
2020-12-02,0.9995,1.0001,0.9994,0.9995,140442133.05
2020-12-03,0.9996,0.9998,0.9992,0.9992,138056563.69
2020-12-04,0.9992,0.9998,0.9992,0.9997,130752994.51
2020-12-05,0.9997,0.9998,0.9992,0.9996,97384309.05
2020-12-06,0.9996,0.9996,0.9993,0.9994,102389868.26
2020-12-07,0.9995,1.0,0.9994,0.9996,92028234.32
2020-12-08,0.9996,1.0006,0.9996,1.0004,137691642.09
2020-12-09,1.0005,1.0007,0.9997,0.9997,154117169.71
2020-12-10,0.9997,1.0007,0.9997,1.0001,123207943.84
2020-12-11,1.0002,1.0007,1.0,1.0001,149451438.89
2020-12-12,1.0001,1.0001,0.9995,0.9995,94014968.1
2020-12-13,0.9996,1.0003,0.9995,1.0003,110260075.72
2020-12-14,1.0003,1.0004,0.9998,1.0001,91388149.46
2020-12-15,1.0001,1.0003,0.9998,0.9998,121247985.72
2020-12-16,0.9998,0.9999,0.9987,0.9992,231829799.2
2020-12-17,0.9992,1.0001,0.9991,0.9993,365329908.79
2020-12-18,0.9993,1.0003,0.9992,0.9994,196830230.97
2020-12-19,0.9993,0.9997,0.9987,0.9988,190410776.2
2020-12-20,0.9988,0.9996,0.9988,0.9994,152174182.68
2020-12-21,0.9993,1.0005,0.9993,0.9997,173436268.14
2020-12-22,0.9997,1.0004,0.9995,0.9999,159235824.17
2020-12-23,1.0,1.0009,0.9999,1.0004,231506791.74
2020-12-24,1.0004,1.0006,1.0,1.0003,169735834.64
2020-12-25,1.0003,1.0007,1.0002,1.0004,150610996.46
2020-12-26,1.0004,1.0008,1.0001,1.0007,159604601.48
2020-12-27,1.0007,1.0016,1.0003,1.0012,256816406.47
2020-12-28,1.0012,1.0016,1.0008,1.0016,215328395.6
2020-12-29,1.0016,1.002,1.0008,1.001,222416397.82
2020-12-30,1.001,1.0015,0.9996,0.9997,275427452.54
2020-12-31,0.9996,0.9999,0.9986,0.9987,225499177.21
2021-01-01,0.9987,0.9987,0.9971,0.9973,246620115.8
2021-01-02,0.9973,0.9995,0.9969,0.9989,408678184.13
2021-01-03,0.9989,1.0,0.9977,0.9979,421623215.44
2021-01-04,0.9979,1.0003,0.9914,0.9993,526696339.27
2021-01-05,0.9993,0.9997,0.996,0.9969,343744054.21
2021-01-06,0.997,0.9986,0.9954,0.9976,422880303.22
2021-01-07,0.9975,1.0001,0.9963,0.9987,571580725.42
2021-01-08,0.9988,1.0,0.9985,0.9993,470848361.06
2021-01-09,0.9993,0.9996,0.9962,0.9964,341925876.99
2021-01-10,0.9963,1.001,0.9963,0.9998,516331031.95
2021-01-11,0.9998,1.0046,0.9997,0.9998,801258789.79
2021-01-12,0.9999,1.0009,0.9994,1.0005,398863107.4
2021-01-13,1.0005,1.001,0.9998,0.9999,312008920.68
2021-01-14,0.9999,1.0016,0.9996,1.0012,397795479.93
2021-01-15,1.0011,1.0022,1.0,1.0001,399890578.87
2021-01-16,1.0001,1.0005,0.9995,0.9998,333893493.92
2021-01-17,0.9998,1.0006,0.9997,1.0003,268513571.98
2021-01-18,1.0003,1.0005,0.9994,0.9997,245468935.73
2021-01-19,0.9997,1.0001,0.9982,0.9996,438513553.57
2021-01-20,0.9996,1.0004,0.9992,0.9996,380142914.28
2021-01-21,0.9995,1.0013,0.9995,1.0008,416820499.24
2021-01-22,1.0007,1.0013,0.9987,0.999,395688891.6
2021-01-23,0.9991,0.9995,0.9987,0.9993,171436908.96
2021-01-24,0.9992,0.9998,0.9988,0.9989,171212217.94
2021-01-25,0.9989,1.0005,0.9987,1.0,424207075.01
2021-01-26,1.0,1.0002,0.9991,0.9994,626267605.52
2021-01-27,0.9993,0.9999,0.998,0.9983,550020996.07
2021-01-28,0.9983,0.9995,0.9972,0.9974,566103070.68
2021-01-29,0.9974,1.0,0.9921,0.9995,1368212680.24
2021-01-30,0.9994,1.0,0.9988,0.9988,509045308.36
2021-01-31,0.9988,0.9998,0.9987,0.9992,402188627.68
2021-02-01,0.9991,1.0005,0.9988,0.9996,459754597.72
2021-02-02,0.9996,0.9999,0.999,0.9992,450363661.93
2021-02-03,0.9991,0.9995,0.9983,0.9987,441491814.64
2021-02-04,0.9988,0.9995,0.9977,0.9991,664799470.88
2021-02-05,0.999,0.9996,0.998,0.999,561042668.44
2021-02-06,0.9991,0.9996,0.9983,0.9983,534599678.14
2021-02-07,0.9984,0.9994,0.9982,0.9983,571614427.34
2021-02-08,0.9982,0.9994,0.9967,0.9989,850742886.21
2021-02-09,0.999,0.9999,0.9972,0.9987,981990644.15
2021-02-10,0.9988,0.9998,0.9975,0.9993,985113593.12
2021-02-11,0.9992,0.9998,0.9988,0.9992,712415908.27
2021-02-12,0.9992,0.9998,0.9975,0.9981,789833666.69
2021-02-13,0.9981,0.9994,0.9978,0.9989,810991463.7
2021-02-14,0.9988,0.9997,0.9982,0.999,620521521.46
2021-02-15,0.999,1.0001,0.9981,0.9999,887857507.27
2021-02-16,0.9999,1.0007,0.9993,1.0,847373496.7
2021-02-17,1.0001,1.0007,0.9994,0.9996,960374104.28
2021-02-18,0.9997,1.0018,0.9993,1.0001,1115268824.8
2021-02-19,1.0,1.0014,0.9995,0.9997,1412892933.94
2021-02-20,0.9998,1.0004,0.9991,0.9992,1366281686.85
2021-02-21,0.9992,1.0,0.9991,0.9992,900340826.3
2021-02-22,0.9992,1.0023,0.9988,0.9997,1620822935.9
2021-02-23,0.9997,1.0027,0.9995,1.0002,1723077860.64
2021-02-24,1.0001,1.0005,0.9993,0.9996,1022466402.89
2021-02-25,0.9995,1.0004,0.9992,1.0001,733402426.06
2021-02-26,1.0001,1.0004,0.9993,0.9998,744601811.82
2021-02-27,0.9998,1.0004,0.9991,0.9991,590371929.25
2021-02-28,0.9991,0.9999,0.9977,0.9982,724261416.79
2021-03-01,0.9982,0.9995,0.998,0.999,806118065.98
2021-03-02,0.999,0.9999,0.9988,0.9993,592432505.41
2021-03-03,0.9993,1.0002,0.999,0.9997,709631447.11
2021-03-04,0.9997,1.0006,0.9993,1.0002,839119670.09
2021-03-05,1.0001,1.0006,0.9996,0.9998,625334609.55
2021-03-06,0.9998,1.0005,0.9995,0.9996,484977993.76
2021-03-07,0.9995,1.0002,0.9995,0.9997,625061918.21
2021-03-08,0.9997,1.0,0.9994,0.9997,618812738.34
2021-03-09,0.9997,1.0002,0.9993,0.9999,932779933.3
2021-03-10,0.9999,1.0004,0.9995,1.0,977213326.55
2021-03-11,0.9999,1.0006,0.9996,0.9998,916852885.27
2021-03-12,0.9997,1.0005,0.9997,1.0002,947624392.86
2021-03-13,1.0001,1.0014,0.9998,1.0004,1001753459.17
2021-03-14,1.0004,1.0006,0.9997,0.9999,740664681.96
2021-03-15,0.9999,1.0006,0.9995,1.0,1181680999.28
2021-03-16,0.9999,1.0007,0.9998,0.9998,1046595292.79
2021-03-17,0.9998,1.0002,0.9994,0.9997,778332646.69
2021-03-18,0.9997,1.0004,0.9996,1.0002,766427569.33
2021-03-19,1.0002,1.0004,0.9998,1.0,588895681.85
2021-03-20,0.9999,1.0001,0.9996,1.0,558891169.64
2021-03-21,0.9999,1.0,0.9992,0.9996,625573091.22
2021-03-22,0.9996,1.0003,0.9994,0.9997,695281469.44
2021-03-23,0.9997,1.0001,0.9995,1.0,667828778.93
2021-03-24,0.9999,1.0008,0.9998,1.0003,829524198.64
2021-03-25,1.0004,1.0006,0.9997,0.9998,885156851.17
2021-03-26,0.9998,1.0001,0.9993,0.9995,761816182.46
2021-03-27,0.9995,1.0002,0.9994,0.9999,561416088.73
2021-03-28,1.0,1.0005,0.9999,1.0002,464334806.92
2021-03-29,1.0003,1.0005,0.9999,1.0002,611815218.67
2021-03-30,1.0001,1.0007,0.9996,0.9997,730002408.45
2021-03-31,0.9997,1.0001,0.9995,0.9997,762496634.68
2021-04-01,0.9996,1.0008,0.9995,1.0003,713116311.25
2021-04-02,1.0003,1.0011,0.9998,0.9999,724137908.84
2021-04-03,0.9998,1.0004,0.9997,0.9998,634827383.31
2021-04-04,0.9998,1.0001,0.9997,1.0001,570938759.63
2021-04-05,1.0,1.0004,0.9998,1.0,886424217.58
2021-04-06,0.9999,1.0005,0.9997,1.0001,905673588.25
2021-04-07,1.0001,1.0018,1.0,1.0004,1373457297.58
2021-04-08,1.0004,1.0011,0.9999,1.0001,1144459477.14
2021-04-09,1.0001,1.0007,1.0,1.0005,1016208874.49
2021-04-10,1.0005,1.0013,1.0001,1.0003,1358593828.37
2021-04-11,1.0004,1.0014,1.0001,1.0006,1048891008.9
2021-04-12,1.0007,1.0013,1.0001,1.0005,1532251775.96
2021-04-13,1.0006,1.0008,0.9995,0.9998,1997529230.56
2021-04-14,0.9999,1.0006,0.999,0.9999,2121335631.16
2021-04-15,0.9999,1.0002,0.9984,0.9992,1813896996.21
2021-04-16,0.9991,0.9999,0.996,0.9987,3215647989.72
2021-04-17,0.9987,0.9999,0.9984,0.9992,1914039998.2
2021-04-18,0.9993,0.9996,0.97,0.9981,2439792448.02
2021-04-19,0.9982,0.9995,0.9979,0.9992,1832084960.73
2021-04-20,0.9993,0.9999,0.9984,0.9991,2135800489.51
2021-04-21,0.999,0.9998,0.999,0.9996,1173102120.25
2021-04-22,0.9997,1.0003,0.9988,0.9999,1860037972.45
2021-04-23,0.9999,1.004,0.9987,0.999,2322868711.0
2021-04-24,0.9991,0.9992,0.9987,0.9989,852681118.21
2021-04-25,0.9989,0.9996,0.9986,0.9989,852947863.97
2021-04-26,0.999,0.9994,0.9983,0.9993,1323982221.05
2021-04-27,0.9993,0.9993,0.9986,0.999,1023679827.18
2021-04-28,0.999,0.9997,0.9986,0.9993,1470698172.19
2021-04-29,0.9993,0.9998,0.9989,0.9995,1745763668.84
2021-04-30,0.9995,0.9996,0.9988,0.999,1403195615.42
2021-05-01,0.9989,0.9994,0.9986,0.9991,644455844.27
